斯玛特,#genre#
TVB Jade,http://192.168.2.2:8080/stv.php?id=Tvbjade
TVB Asia,http://192.168.2.2:8080/stv.php?id=Tvbasia
TVB Entertainment,http://192.168.2.2:8080/stv.php?id=Tvbentertainment
TVB Classic,http://192.168.2.2:8080/stv.php?id=Tvbclassic
TVBJ2,http://192.168.2.2:8080/stv.php?id=j2_twn
TVB珍珠,http://192.168.2.2:8080/stv.php?id=pearl_twn
TVB翡翠,http://192.168.2.2:8080/stv.php?id=jade_mike Indian
HGTV,http://192.168.2.2:8080/stv.php?id=HGTV
RHK31,http://192.168.2.2:8080/stv.php?id=rhk31_twn
RHK32,http://192.168.2.2:8080/stv.php?id=rhk32_twn
VIUTV1,http://192.168.2.2:8080/stv.php?id=viu1_twn
VIUTV6,http://192.168.2.2:8080/stv.php?id=viusix_twn
凤凰资讯,http://192.168.2.2:8080/stv.php?id=phoenixinfo_hd
CCTV-1综合 HD,http://192.168.2.2:8080/stv.php?id=cctv1
CCTV-2财经,http://192.168.2.2:8080/stv.php?id=cctv2
CCTV-3综艺 HD,http://192.168.2.2:8080/stv.php?id=cctv3
CCTV-4中文国际,http://192.168.2.2:8080/stv.php?id=cctv4
CCTV4新闻台,http://192.168.2.2:8080/stv.php?id=Cctv4
CCTV-5 体育频道,http://192.168.2.2:8080/stv.php?id=cctv5
CCTV-5+ 体育赛事 HD,http://192.168.2.2:8080/stv.php?id=cctv5plus
CCTV-7军事农业,http://192.168.2.2:8080/stv.php?id=cctv7
CCTV-8电视剧 HD,http://192.168.2.2:8080/stv.php?id=cctv8hd
CCTV-9记录 HD,http://192.168.2.2:8080/stv.php?id=cctv9hd
CCTV-10科教 HD,http://192.168.2.2:8080/stv.php?id=cctv10hd
CCTV-11戏曲,http://192.168.2.2:8080/stv.php?id=cctv11
CCTV-12社会与法,http://192.168.2.2:8080/stv.php?id=cctv12
CCTV-13新闻频道,http://192.168.2.2:8080/stv.php?id=cctv13
CCTV-14 少儿,http://192.168.2.2:8080/stv.php?id=cctv14
CCTV-15 音乐,http://192.168.2.2:8080/stv.php?id=cctv15
CCTV-16,http://192.168.2.2:8080/stv.php?id=cctv6
深圳卫视,http://192.168.2.2:8080/stv.php?id=shenzhen
福建东南卫视,http://192.168.2.2:8080/stv.php?id=fujian
广东南方卫视,http://192.168.2.2:8080/stv.php?id=nanfang_twn
广东卫视,http://192.168.2.2:8080/stv.php?id=guangdongweishi_twn
珠江台,http://192.168.2.2:8080/stv.php?id=zhujiang
广西卫视,http://192.168.2.2:8080/stv.php?id=guangxi
湖北卫视,http://192.168.2.2:8080/stv.php?id=hubei
