广东移动,#genre#
广东卫视,http://https://124.71.4.178:6004/rtp/239.20.0.101:2000
广东经济科教,http://https://124.71.4.178:6004/rtp/239.20.0.102:2002
广东体育频道,http://https://124.71.4.178:6004/rtp/239.20.0.103:2004
广东珠江频道,http://https://124.71.4.178:6004/rtp/239.20.0.64:3144
广东大湾区卫视,http://https://124.71.4.178:6004/rtp/239.21.0.84:3676
广东影视频道,http://https://124.71.4.178:6004/rtp/239.21.0.85:3680
广东民生频道,http://https://124.71.4.178:6004/rtp/239.21.0.86:3684
广东少儿频道,http://https://124.71.4.178:6004/rtp/239.21.0.87:3688
广东新闻频道,http://https://124.71.4.178:6004/rtp/239.21.0.93:3712
广东嘉佳卡通,http://https://124.71.4.178:6004/rtp/239.21.0.94:3716
广东4K超高清,http://https://124.71.4.178:6004/rtp/239.20.0.60:3160
岭南戏曲,http://https://124.71.4.178:6004/rtp/239.20.0.115:2028
现代教育,http://https://124.71.4.178:6004/rtp/239.20.0.128:2054
惠州综合频道,http://https://124.71.4.178:6004/rtp/239.21.0.27:3448
惠州公共频道,http://https://124.71.4.178:6004/rtp/239.21.0.28:3452
河源综合频道,http://https://124.71.4.178:6004/rtp/239.21.0.48:3532
河源生活频道,http://https://124.71.4.178:6004/rtp/239.21.0.49:3536
汕尾新闻综合,http://https://124.71.4.178:6004/rtp/239.21.0.89:3696
汕尾文化生活,http://https://124.71.4.178:6004/rtp/239.21.0.90:3700
揭阳综合频道,http://https://124.71.4.178:6004/rtp/239.21.0.91:3704
揭阳生活频道,http://https://124.71.4.178:6004/rtp/239.21.0.92:3708
CCTV-1综合,http://https://124.71.4.178:6004/rtp/239.20.0.104:2006
CCTV-2财经,http://https://124.71.4.178:6004/rtp/239.20.0.197:2192
CCTV-3综艺,http://https://124.71.4.178:6004/rtp/239.20.0.28:3292
CCTV-4中文国际,http://https://124.71.4.178:6004/rtp/239.20.0.16:3340
CCTV-5体育,http://https://124.71.4.178:6004/rtp/239.20.0.30:3284
CCTV-5+体育赛事,http://https://124.71.4.178:6004/rtp/239.20.0.203:2204
CCTV-6电影,http://https://124.71.4.178:6004/rtp/239.20.0.29:3288
CCTV-7国防军事,http://https://124.71.4.178:6004/rtp/239.20.0.198:2194
CCTV-8电视剧,http://https://124.71.4.178:6004/rtp/239.20.0.31:3280
CCTV-9纪录,http://https://124.71.4.178:6004/rtp/239.20.0.199:2196
CCTV-10科教,http://https://124.71.4.178:6004/rtp/239.20.0.200:2198
CCTV-11戏曲,http://https://124.71.4.178:6004/rtp/239.21.0.35:3480
CCTV-12社会与法,http://https://124.71.4.178:6004/rtp/239.20.0.201:2200
CCTV-13新闻,http://https://124.71.4.178:6004/rtp/239.21.0.88:3692
CCTV-14少儿,http://https://124.71.4.178:6004/rtp/239.20.0.202:2202
CCTV-15音乐,http://https://124.71.4.178:6004/rtp/239.21.0.36:3484
CCTV-17农业农村,http://https://124.71.4.178:6004/rtp/239.20.0.7:3376
CCTV风云足球,http://https://124.71.4.178:6004/rtp/239.21.0.70:3620
CCTV央视台球,http://https://124.71.4.178:6004/rtp/239.21.0.71:3624
CCTV高尔夫网球,http://https://124.71.4.178:6004/rtp/239.21.0.72:3628
CCTV女性时尚,http://https://124.71.4.178:6004/rtp/239.21.0.73:3632
CCTV世界地理,http://https://124.71.4.178:6004/rtp/239.21.0.74:3636
CCTV怀旧剧场,http://https://124.71.4.178:6004/rtp/239.21.0.75:3640
CCTV风云剧场,http://https://124.71.4.178:6004/rtp/239.21.0.76:3644
CCTV央视文化精品,http://https://124.71.4.178:6004/rtp/239.21.0.77:3648
CCTV第一剧场,http://https://124.71.4.178:6004/rtp/239.21.0.78:3652
CCTV风云音乐,http://https://124.71.4.178:6004/rtp/239.21.0.79:3656
CCTV兵器科技,http://https://124.71.4.178:6004/rtp/239.21.0.80:3660
CCTV电视指南,http://https://124.71.4.178:6004/rtp/239.21.0.81:3664
浙江卫视,http://https://124.71.4.178:6004/rtp/239.20.0.169:2136
安徽卫视,http://https://124.71.4.178:6004/rtp/239.20.0.193:2184
北京卫视,http://https://124.71.4.178:6004/rtp/239.20.0.121:2040
山东卫视,http://https://124.71.4.178:6004/rtp/239.20.0.172:2142
重庆卫视,http://https://124.71.4.178:6004/rtp/239.20.0.195:2188
东方卫视,http://https://124.71.4.178:6004/rtp/239.20.0.173:2144
东南卫视,http://https://124.71.4.178:6004/rtp/239.20.0.58:3168
深圳卫视,http://https://124.71.4.178:6004/rtp/239.20.0.122:2042
四川卫视,http://https://124.71.4.178:6004/rtp/239.20.0.194:2186
天津卫视,http://https://124.71.4.178:6004/rtp/239.20.0.171:2140
广西卫视,http://https://124.71.4.178:6004/rtp/239.20.0.15:3344
贵州卫视,http://https://124.71.4.178:6004/rtp/239.20.0.212:2222
河北卫视,http://https://124.71.4.178:6004/rtp/239.20.0.56:3176
黑龙江卫视,http://https://124.71.4.178:6004/rtp/239.20.0.123:2044
湖北卫视,http://https://124.71.4.178:6004/rtp/239.20.0.124:2046
湖南卫视,http://https://124.71.4.178:6004/rtp/239.20.0.105:2008
吉林卫视,http://https://124.71.4.178:6004/rtp/239.20.0.54:3184
江苏卫视,http://https://124.71.4.178:6004/rtp/239.20.0.170:2138
江西卫视,http://https://124.71.4.178:6004/rtp/239.20.0.55:3180
辽宁卫视,http://https://124.71.4.178:6004/rtp/239.20.0.175:2148
河南卫视,http://https://124.71.4.178:6004/rtp/239.20.0.144:2086
内蒙古卫视,http://https://124.71.4.178:6004/rtp/239.20.0.153:2104
宁夏卫视,http://https://124.71.4.178:6004/rtp/239.20.0.156:2110
青海卫视,http://https://124.71.4.178:6004/rtp/239.20.0.154:2106
甘肃卫视,http://https://124.71.4.178:6004/rtp/239.20.0.159:2116
海南卫视,http://https://124.71.4.178:6004/rtp/239.20.0.155:2108
山西卫视,http://https://124.71.4.178:6004/rtp/239.20.0.152:2102
陕西卫视,http://https://124.71.4.178:6004/rtp/239.20.0.151:2100
西藏卫视,http://https://124.71.4.178:6004/rtp/239.20.0.157:2112
新疆卫视,http://https://124.71.4.178:6004/rtp/239.20.0.158:2114
云南卫视,http://https://124.71.4.178:6004/rtp/239.20.0.1
