央视频道,#genre#
CCTV-1,http://124.93.18.238:9002/hls/1/index.m3u8
CCTV-2,http://124.93.18.238:9002/hls/2/index.m3u8
CCTV-3,http://124.93.18.238:9002/hls/3/index.m3u8
CCTV-4,http://124.93.18.238:9002/hls/4/index.m3u8
CCTV-5,http://124.93.18.238:9002/hls/5/index.m3u8
CCTV5+,http://124.93.18.238:9002/hls/18/index.m3u8
CCTV-6,http://124.93.18.238:9002/hls/6/index.m3u8
CCTV-7,http://124.93.18.238:9002/hls/7/index.m3u8
CCTV-8,http://124.93.18.238:9002/hls/8/index.m3u8
cctv-9,http://124.93.18.238:9002/hls/9/index.m3u8
CCTV-10,http://124.93.18.238:9002/hls/10/index.m3u8
cctv-11,http://124.93.18.238:9002/hls/11/index.m3u8
CCTV-12,http://124.93.18.238:9002/hls/12/index.m3u8
CCTV-13,http://124.93.18.238:9002/hls/13/index.m3u8
CCTV-14,http://124.93.18.238:9002/hls/14/index.m3u8
CCTV-15,http://124.93.18.238:9002/hls/15/index.m3u8
CCTV-16,http://124.93.18.238:9002/hls/16/index.m3u8
CCTV-17,http://124.93.18.238:9002/hls/17/index.m3u8
CCTV央视台球,http://124.93.18.238:9002/hls/20/index.m3u8

卫视频道,#genre#
北京卫视,http://124.93.18.238:9002/hls/23/index.m3u8
天津卫视,http://124.93.18.238:9002/hls/24/index.m3u8
上海,http://124.93.18.238:9002/hls/25/index.m3u8
重庆,http://124.93.18.238:9002/hls/26/index.m3u8
辽宁卫视,http://124.93.18.238:9002/hls/27/index.m3u8
辽宁新闻,http://124.93.18.238:9002/hls/28/index.m3u8
辽宁体育,http://124.93.18.238:9002/hls/56/index.m3u8
辽宁经济,http://124.93.18.238:9002/hls/57/index.m3u8
浙江卫视,http://124.93.18.238:9002/hls/29/index.m3u8
江苏卫视,http://124.93.18.238:9002/hls/30/index.m3u8
安徽卫视,http://124.93.18.238:9002/hls/31/index.m3u8
湖南卫视,http://124.93.18.238:9002/hls/32/index.m3u8
贵州卫视,http://124.93.18.238:9002/hls/33/index.m3u8
山东卫视,http://124.93.18.238:9002/hls/34/index.m3u8
山西卫视,http://124.93.18.238:9002/hls/35/index.m3u8
广东卫视,http://124.93.18.238:9002/hls/36/index.m3u8
广西卫视,http://124.93.18.238:9002/hls/37/index.m3u8
湖北卫视,http://124.93.18.238:9002/hls/38/index.m3u8
江西卫视,http://124.93.18.238:9002/hls/39/index.m3u8
河北卫视,http://124.93.18.238:9002/hls/40/index.m3u8
河南卫视,http://124.93.18.238:9002/hls/41/index.m3u8
四川卫视,http://124.93.18.238:9002/hls/42/index.m3u8
海南卫视,http://124.93.18.238:9002/hls/43/index.m3u8
青海卫视,http://124.93.18.238:9002/hls/44/index.m3u8
云南卫视,http://124.93.18.238:9002/hls/45/index.m3u8
陕西卫视,http://124.93.18.238:9002/hls/46/index.m3u8
内蒙古卫视,http://124.93.18.238:9002/hls/47/index.m3u8
宁夏卫视,http://124.93.18.238:9002/hls/48/index.m3u8
吉林卫视,http://124.93.18.238:9002/hls/49/index.m3u8
新疆卫视,http://124.93.18.238:9002/hls/50/index.m3u8
甘肃卫视,http://124.93.18.238:9002/hls/51/index.m3u8
西藏卫视,http://124.93.18.238:9002/hls/52/index.m3u8
黑龙江卫视,http://124.93.18.238:9002/hls/53/index.m3u8
深圳卫视,http://124.93.18.238:9002/hls/54/index.m3u8
厦门卫视,http://124.93.18.238:9002/hls/55/index.m3u8

邵氏经典,#genre#
邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub

💫韩国女团,#genre#
韩国女团001,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240095359203.mp4
韩国女团002,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239978750464.mp4
韩国女团003,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239858729476.mp4
韩国女团004,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239755956819.mp4
韩国女团005,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239987758613.mp4
韩国女团006,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239880949246.mp4
韩国女团007,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239903717006.mp4
韩国女团008,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239903321355.mp4
