央视频道,#genre#
CCTV1,http://120.238.94.82:9901/tsfile/live/1026_1.m3u8?key=txiptv
CCTV2,http://120.238.94.82:9901/tsfile/live/1027_1.m3u8?key=txiptv
CCTV3,http://120.238.94.82:9901/tsfile/live/1028_1.m3u8?key=txiptv
CCTV4,http://120.238.94.82:9901/tsfile/live/1029_1.m3u8?key=txiptv
CCTV5,http://120.238.94.82:9901/tsfile/live/1030_1.m3u8?key=txiptv
CCTV5+,http://120.238.94.82:9901/tsfile/live/1031_1.m3u8?key=txiptv
CCTV6,http://120.238.94.82:9901/tsfile/live/1032_1.m3u8?key=txiptv
CCTV7,http://120.238.94.82:9901/tsfile/live/1033_1.m3u8?key=txiptv
CCTV8,http://120.238.94.82:9901/tsfile/live/1034_1.m3u8?key=txiptv
CCTV9,http://120.238.94.82:9901/tsfile/live/1035_1.m3u8?key=txiptv
CCTV10,http://120.238.94.82:9901/tsfile/live/1036_1.m3u8?key=txiptv
CCTV11,http://120.238.94.82:9901/tsfile/live/1037_1.m3u8?key=txiptv
CCTV12,http://120.238.94.82:9901/tsfile/live/1038_1.m3u8?key=txiptv
CCTV13,http://120.238.94.82:9901/tsfile/live/1039_1.m3u8?key=txiptv
CCTV14,http://120.238.94.82:9901/tsfile/live/1040_1.m3u8?key=txiptv
CCTV15,http://120.238.94.82:9901/tsfile/live/1041_1.m3u8?key=txiptv
CCTV17,http://120.238.94.82:9901/tsfile/live/1042_1.m3u8?key=txiptv
CCTV1,http://119.123.178.255:8086/hls/2/index.m3u8
CCTV2,http://119.123.178.255:8086/hls/3/index.m3u8
CCTV3,http://119.123.178.255:8086/hls/4/index.m3u8
CCTV4,http://119.123.178.255:8086/hls/5/index.m3u8
CCTV5,http://119.123.178.255:8086/hls/6/index.m3u8
CCTV6,http://119.123.178.255:8086/hls/7/index.m3u8
CCTV7,http://119.123.178.255:8086/hls/8/index.m3u8
CCTV8,http://119.123.178.255:8086/hls/9/index.m3u8
CCTV9,http://119.123.178.255:8086/hls/10/index.m3u8
CCTV10,http://119.123.178.255:8086/hls/11/index.m3u8
CCTV11,http://119.123.178.255:8086/hls/12/index.m3u8
CCTV12,http://119.123.178.255:8086/hls/13/index.m3u8
CCTV13,http://119.123.178.255:8086/hls/14/index.m3u8
CCTV14,http://119.123.178.255:8086/hls/15/index.m3u8
CCTV15,http://119.123.178.255:8086/hls/16/index.m3u8
CCTV16,http://119.123.178.255:8086/hls/17/index.m3u8
CCTV怀旧剧场,http://119.123.178.255:8086/hls/56/index.m3u8

香港,#genre#
TVB频道,http://120.238.94.82:9901/tsfile/live/1005_1.m3u8?key=txiptv
翡翠台,http://120.238.94.82:9901/tsfile/live/1007_1.m3u8?key=txiptv
明珠台,http://120.238.94.82:9901/tsfile/live/1008_1.m3u8?key=txiptv
凤凰卫视,http://120.238.94.82:9901/tsfile/live/1062_1.m3u8?key=txiptv

卫视频道,#genre#
北京卫视,http://120.238.94.82:9901/tsfile/live/1068_1.m3u8?key=txiptv
北京卫视,http://119.123.178.255:8086/hls/131/index.m3u8
东方卫视,http://120.238.94.82:9901/tsfile/live/1098_1.m3u8?key=txiptv
东方卫视,http://119.123.178.255:8086/hls/129/index.m3u8
湖南卫视,http://120.238.94.82:9901/tsfile/live/1072_1.m3u8?key=txiptv
湖南卫视,http://119.123.178.255:8086/hls/55/index.m3u8
